,latitude,longitude,geoname_id,location_type_name,location_type_code,location_details
1225,8.484,-13.22994,2409306,capital of a political entity,PPLC,"Freetown, Bo, Kenema"
1226,7.87687,-11.19025,2407790,seat of a first-order administrative division,PPLA,"Freetown, Bo, Kenema"
1227,7.95171,-11.19004,2407781,second-order administrative division,ADM2,"Freetown, Bo, Kenema"
1228,7.98877,-11.6734,2410021,second-order administrative division,ADM2,"Freetown, Bo, Kenema"
1229,,,2403846,independent political entity,PCLI,Yoni; Bombali 
1230,,,895949,independent political entity,PCLI,
1231,-11.84764,31.39129,8435666,railroad station,RSTN,
1232,2.03711,45.34375,53654,capital of a political entity,PPLC,
1233,,,51537,independent political entity,PCLI,
1234,,,51537,independent political entity,PCLI,
1235,9.53795,-13.67729,2422465,capital of a political entity,PPLC,"Conakry, Guinea"
1236,13.0,25.0,376731,administrative division,ADMD,Darfur
1237,-15.40669,28.28713,909137,capital of a political entity,PPLC,
1238,,,895949,independent political entity,PCLI,
1239,-15.40669,28.28713,909137,capital of a political entity,PPLC,
1240,,,895949,independent political entity,PCLI,
1241,,,895949,independent political entity,PCLI,
1242,-15.0,24.0,896140,first-order administrative division,ADM1,
1243,-16.5,27.0,896972,first-order administrative division,ADM1,
1244,-13.0,25.0,900594,first-order administrative division,ADM1,
1245,-9.75,30.75,900601,first-order administrative division,ADM1,
1246,-15.41667,29.0,909129,first-order administrative division,ADM1,
1247,-11.0,29.0,909845,first-order administrative division,ADM1,
1248,-13.0,28.0,917524,first-order administrative division,ADM1,
1249,-13.66667,32.0,917388,first-order administrative division,ADM1,
1250,-14.0,29.0,921064,first-order administrative division,ADM1,
1251,-15.40669,28.28713,909137,capital of a political entity,PPLC,Lusaka
1252,-12.80243,28.21323,911148,populated place,PPL,
1253,-15.40669,28.28713,909137,capital of a political entity,PPLC,
1254,-12.95867,28.63659,901344,seat of a first-order administrative division,PPLA,
1255,-17.802,25.867,910107,second-order administrative division,ADM2,
1256,-15.40669,28.28713,909137,capital of a political entity,PPLC,Lusaka
